FIPS,income
06037197600,74038
06037199202,67257
06037201302,91250
06037408133,70667
06037408135,92250
06037408211,60429
06037408303,91750
06037408623,73393
06037408625,87632
06037408704,58281
06037430102,67425
06037430701,92500
06037431700,108106
06037432700,52882
06037433902,53205
06037434001,52436
06037460301,110714
06037603301,53226
06037603302,52722
06037603702,81304
06037620102,97396
06037620521,123050
06037620602,129417
06037650701,107500
06037651302,124844
06037670002,75662
06037670202,192188
06037800101,142159
06037221110,34868
06037117102,69500
06037117407,33480
06037117408,36250
06037117202,100326
06037119001,85758
06037119002,80664
06037119201,91111
06037119202,67500
06037237300,45107
06037237500,32051
06037199120,38970
06037201301,59955
06037203600,49922
06037204110,57417
06037204420,29730
06037204600,31786
06037204920,39904
06037206300,9191
06037207710,100972
06037208710,69656
06037211310,42637
06037212900,43167
06037900607,39519
06037901004,98694
06037910706,60094
06037502302,56750
06037920329,91130
06037920332,91667
06037101400,75139
06037104310,74940
06037106403,72604
06037106520,63924
06037571101,104000
06037571102,108000
06037600304,33262
06037600303,21429
06037602504,45421
06037602505,37237
06037602506,39016
06037602507,52969
06037602508,50112
06037602509,68750
06037600703,72500
06037600802,69519
06037702802,90438
06037900605,38965
06037900701,39341
06037901007,88906
06037273100,121500
06037265303,21506
06037267402,87095
06037273300,71823
06037600302,57188
06037540400,52045
06037107010,69934
06037108101,121563
06037109300,86316
06037109400,82215
06037109800,92356
06037111204,154038
06037113401,86101
06037115301,94279
06037117405,36538
06037119320,72813
06037120030,30625
06037121020,53345
06037122000,75486
06037123020,42056
06037123800,75096
06037262501,224962
06037262604,200625
06037262704,122083
06037262706,188409
06037262802,217292
06037264102,108004
06037264103,105481
06037265201,72361
06037504001,95347
06037530006,65550
06037530202,72045
06037530601,51719
06037531102,33512
06037531602,31681
06037531702,54470
06037531902,63235
06037532200,52585
06037532303,55810
06037532700,46125
06037533103,35792
06037533203,46645
06037533602,46429
06037535400,44205
06037535607,46081
06037540101,81494
06037301801,58779
06037301802,63328
06037302003,55305
06037302004,50875
06037302401,41300
06037302503,41016
06037302504,38468
06037460800,212639
06037461200,129974
06037462700,80294
06037463200,109583
06037463800,158438
06037464000,107438
06037430501,120469
06037430801,90408
06037430803,94315
06037431002,52813
06037431300,92125
06037432601,67760
06037433302,34500
06037433501,36703
06037460200,101875
06037101220,43713
06037103400,89926
06037104105,54960
06037540201,34855
06037218220,49632
06037222200,40227
06037228100,47444
06037232400,46883
06037241300,46111
06037211202,41280
06037211703,52352
06037211704,43462
06037211803,53301
06037211804,41635
06037211921,35993
06037211922,49554
06037212101,51370
06037212102,27167
06037212501,39093
06037212701,47000
06037212502,47731
06037212702,73028
06037214501,87364
06037214502,60093
06037214503,75294
06037214901,71844
06037214902,84840
06037215101,67888
06037215102,69979
06037216401,75597
06037216402,75000
06037217001,87250
06037217002,87934
06037218701,49316
06037218702,38827
06037219901,39006
06037219902,49531
06037221303,39244
06037221304,43125
06037920111,107132
06037531000,41615
06037530004,58203
06037530301,49018
06037530901,52356
06037532001,36458
06037532500,55219
06037533403,45217
06037533501,41549
06037533601,46831
06037534803,39432
06037535603,43073
06037535902,72689
06037540102,60934
06037540502,35213
06037540800,66964
06037541300,48701
06037541400,46563
06037542900,53550
06037550700,100844
06037551800,79132
06037211410,43011
06037211500,66042
06037212420,40809
06037212800,49867
06037213100,44167
06037216300,94620
06037219800,43214
06037222700,9632
06037224310,36932
06037224420,24878
06037402102,76500
06037403305,106758
06037403321,102188
06037119700,81688
06037117530,55483
06037119310,47959
06037119400,83333
06037109200,117857
06037113212,84429
06037113231,112500
06037113322,94983
06037113421,65060
06037117301,97634
06037117404,107981
06037121010,62903
06037121600,79474
06037231600,45123
06037224410,26773
06037226420,44209
06037228710,31849
06037232500,55841
06037620301,202333
06037620522,121000
06037117520,36003
06037106643,164125
06037109100,67750
06037109500,33387
06037111202,84240
06037111301,66861
06037115101,141711
06037119340,30817
06037120400,54733
06037123203,48850
06037123602,50667
06037124400,82500
06037127400,53695
06037621301,113500
06037650200,97054
06037650300,71250
06037670001,69766
06037701302,92023
06037701602,106923
06037701802,68828
06037702202,121719
06037265202,74417
06037265601,119886
06037267403,88631
06037267404,82500
06037265602,117629
06037267901,118393
06037269602,58668
06037267902,138750
06037269601,53664
06037269903,65750
06037269904,70682
06037269905,80119
06037269906,95542
06037269907,78895
06037271901,92991
06037271902,73918
06037272201,62716
06037272202,63355
06037273402,72258
06037273502,90161
06037273902,144924
06037275101,97500
06037274202,128766
06037275102,58221
06037275602,148965
06037276603,90375
06037276604,93525
06037275500,42544
06037570701,81917
06037571400,88264
06037571800,106538
06037572100,103603
06037134201,91758
06037310701,30371
06037311000,104875
06037311100,106321
06037400304,74453
06037294110,51011
06037296300,80718
06037297000,110699
06037301203,66563
06037310703,42344
06037400602,75722
06037575901,54799
06037910807,115685
06037910810,147917
06037920037,58868
06037920042,94706
06037920107,180500
06037920328,111042
06037900804,40301
06037551201,61003
06037900704,42330
06037900805,63574
06037900900,54066
06037910206,107344
06037910301,99943
06037910502,38784
06037910707,53646
06037920017,113299
06037543701,90781
06037543702,78911
06037543801,81190
06037551300,58125
06037120107,30481
06037120108,39032
06037121101,59267
06037121102,48750
06037310201,75324
06037310202,74375
06037310501,61906
06037302505,35269
06037302506,61283
06037310601,69277
06037310602,86806
06037320201,35205
06037132501,60156
06037132502,52712
06037134001,63846
06037134521,57669
